"k.vec" "diffStat.vec"
0.05 2.26402315463144
0.05 0.88361809299605
0.23 -1.21169575360023
0.06 2.286286720267
0.08 1.13475512481843
0.06 2.95177535607814
0.21 -1.02380787851393
0.08 2.08176850606245
0.11 1.49177924118052
0.1 0.0902806211126397
0.06 1.44853004430753
0.1 1.53440952812079
0.07 3.05522691541962
0.1 0.216756011994699
0.09 0.752965060068091
0.04 3.73593901638156
0.03 3.10384668413168
0.05 1.80851212990057
0.07 1.39431811871875
0.06 1.30757426223711
0.03 3.86670475204418
0.1 1.95084613270081
0.14 0.256052017183194
0.11 1.48618421898004
0.1 1.08600355121329
0.12 1.3473459111702
0.08 1.72215222680311
0.07 1.78247493286964
0.04 2.3050011048686
0.19 1.33939941326853
0.07 2.69216842721345
0.07 1.75342246013251
0.09 1.07460911371727
0.06 2.13215522442813
0.09 1.85607745946798
0.09 2.35983003017426
0.05 3.70042046302012
0.09 1.59206461776431
0.06 0.896800492519945
0.12 0.452479512190023
0.12 0.871998250030704
0.05 2.90352234880769
0.1 1.22728693530057
0.08 2.06148296893102
0.05 1.87081764001082
0.08 2.91093494138159
0.05 2.44450703311513
0.02 2.20349127993025
0.13 0.600678832732348
0.07 2.0678468530078
0.09 0.936702036130274
0.07 1.48012596943794
0.1 2.41908015004564
0.16 0.371869358776227
0.07 1.22374730534581
0.12 1.32960191621621
0.04 0.814416703697087
0.08 2.27477575960464
0.04 0.887027828273569
0.02 4.37905997979376
0.18 0.0414917982985833
0.06 1.29140619535256
0.09 0.20962804158122
0.08 2.20441391418181
0.09 2.53164248384433
0.06 0.82501553629502
0.1 0.711427416589306
0.06 0.190662463596437
0.02 1.21819430789385
0.07 1.24331555642867
0.08 2.18592111461786
0.15 0.456805195963659
0.08 1.19817620098027
0.1 1.27798024330885
0.14 0.54803805967341
0.06 3.21885886974742
0.13 0.292683271272453
0.07 0.242200087006767
0.08 0.182906987278945
0.09 2.21739574104232
0.12 0.964446966123727
0.1 1.36294186841014
0.02 3.12719811768912
0.07 1.58603120102815
0.03 2.38654153339732
0.09 0.813027021672216
0.05 2.5659222622324
0.07 1.83185401237879
