"k.vec" "diffStat.vec"
0.06 3.13685807920083
0.09 0.28283897393201
0.06 1.35412908762424
0.09 2.29272319254577
0.06 1.35329241308556
0.01 4.71627611298486
0.1 1.34360952898374
0.12 1.76690476354356
0.07 1.82102308855609
0.08 1.07384502738057
0.06 2.62029942149149
0.1 1.97005430809749
0.08 2.24341479102276
0.06 2.99367020991933
0.07 1.1724666059662
0.06 2.14372731199743
0.11 0.823891374272152
0.04 1.1622994821485
0.06 3.03594806203679
0.1 0.875684011497355
0.08 1.70086955700229
0.07 1.71076925060214
0.08 2.31521693919026
0.14 0.432625683838827
0.05 2.34548144387897
0.09 1.08797775928573
0.13 -1.02576967018341
0.13 0.448675317341184
0.04 4.28431518425896
0.17 -0.243413074066276
0.11 1.00687094975308
0.03 1.32734786152295
0.09 1.16308935639906
0.05 2.63106348775973
0.09 1.34602499691563
0.06 3.31568484544181
0.05 2.31614243876558
0.08 1.80128196293955
0.11 1.09974564397881
0.02 1.80387317072888
0.18 -0.88796956468355
0.15 0.765566753976095
0.06 1.49107437153492
0.09 1.20464132649666
0.1 0.573753385335006
0.06 2.61506447497718
0.03 2.17952666708761
0.1 1.86970207395924
0.06 1.0878067949679
0.11 1.43135624878231
0.05 3.41156526429453
0.05 2.52363485903573
0.03 4.03573306612491
0.09 0.648865937556254
0.06 1.64996612525142
0.03 3.43075242731695
0.08 3.12015897231228
0.08 3.72241086779031
0.06 0.962180495027494
0.06 2.00394822288553
0.05 2.17170719853942
0.13 0.823720409954315
0.1 0.330996470410369
0.02 3.22913010032849
0.16 -0.444926518751756
0.04 0.504372435746918
0.03 2.41866372299214
0.04 2.91890531698128
0.03 3.18829541627947
0 1.59369498698524
0.06 0.198751272578314
0.13 -0.415871180690866
0.04 1.18850382306558
0.05 1.82420455304052
0.04 1.21207493144482
0.08 2.72195728815757
0.16 0.572204200287349
0.06 3.68965162121227
0.06 1.79273470215566
0.13 1.31735170202309
0 1.13488788481943
0.06 1.3068369189222
0.08 2.91152042253709
0.07 1.31720366029536
0.05 3.19498785748103
0.2 -1.31305467148708
0.1 2.05679243393161
0.07 0.705349109780867
0.1 0.265304147612695
0.11 1.16195564329698
0.19 -1.19342644928976
0.07 1.45675638883001
0.11 0.0828154976030931
0.11 0.92595898223629
0.07 0.979027643643781
0.06 2.565432291869
0.12 1.30496968293689
0.08 0.541178474585697
0.07 0.99908204465836
0.09 1.30723806424896
0.05 2.11567292703762
0.03 2.3021004421129
0.03 0.948696281400603
0.04 3.64278161021125
0.09 0.647197364018489
0.03 2.44201993208918
0.03 3.02952687148476
0.09 1.74869945146379
0.07 2.29796673503136
0.16 -0.810204677766035
0.04 3.82351954740189
0.08 1.1637407400011
0.1 1.16600339066565
0.06 0.716946030156112
0.05 1.62525843844635
0.11 0.669808588937246
0.22 -1.22776926480061
0.08 2.49811342028207
0.07 1.46190633073936
0.01 4.46511615857238
0.05 2.11539117020096
0.05 2.98481062884531
0.06 1.37529809958248
0.06 2.49545439983036
0.03 3.75914813885878
0.05 2.41108207631624
0.03 1.13150871299538
0.08 1.42175645906961
0.04 3.20260770847376
0.01 3.81155682069295
0.05 0.015966539113241
0.15 1.67579892918728
0.1 1.11680864698522
0.21 -1.14606073727781
0.11 -0.277849490153368
0.08 0.204313821109481
0.12 1.47807821805559
0.11 0.406717426377215
0.11 1.861907438217
0.15 0.370047967971121
0.15 -0.355703202107523
0.02 2.26326575405019
0.07 2.76786741569812
0.09 1.75172045781751
0.04 3.94383258197847
0.05 1.37500774677454
0.04 2.34238593910742
0.04 4.42252503105687
0.02 3.05571020002758
0.09 1.71237478701713
0.03 1.60044951020166
0.03 3.55477892148989
0.09 2.0125079000724
0.11 1.29599548891236
0.01 3.59834330397677
0.01 2.63760693212564
0.07 3.00760141405319
0.05 3.12863364489419
0.12 1.19531469764933
0.11 1.92949660534552
0.03 2.90154049987188
0.02 2.62767094442479
0.05 1.38669062686266
0.03 3.50583919162434
0.08 2.46048980906303
0.1 1.24732891991218
0.06 0.595980656869572
0.02 4.53177887101766
0.08 1.77073092587458
0.08 1.66127746835832
0.1 1.43267238749727
0.06 1.53705231173784
0.07 3.08693363306886
0.03 3.2909485053991
0.05 2.86339922015972
0.01 1.27340527636786
0.1 1.2466574790438
0.12 0.0326818828364469
0.13 0.719605050607824
0.06 1.7574625666378
0.05 2.03791568098347
0.05 2.47104757202036
0.06 2.61350191841863
0.09 0.243003332768221
0.06 2.20090962322013
0.04 2.83174025790653
0.08 0.487095488566239
0.17 0.262724401118416
0.09 3.24918927688268
0.07 2.32212618988986
0.1 1.25854284201115
0.02 2.71077870505167
0.1 0.85468309853319
0.04 2.78618829583631
0.07 2.74111675305029
0.03 2.01018316739299
0.06 2.87688725421829
0.1 0.624947169893821
0.09 2.05414774009872
0.03 2.27418168247785
0.05 2.68302613419485
0.09 1.84353307203523
0.12 0.830226605111305
0.16 0.708246907212797
0.05 1.93085094837732
0.08 3.40359870912652
0.08 1.11158516176596
0.01 3.26178619525108
0.04 2.05788412228517
0.21 -1.39298956360082
0.08 1.99248119718752
0.04 2.07263958455475
0.08 2.58970540457007
0.07 2.28849588488798
0.04 1.75320278531071
0.06 4.04609025641887
0.06 1.12903307326448
0.11 1.054852706374
0.03 2.80424556618834
0.05 3.42100937141612
0.07 2.25351887771768
0.13 1.3894241457322
0.02 2.20412738180555
0.11 1.36965436687804
0.08 1.26015697439743
0.14 1.01268182634368
0.05 2.63584571311955
0.06 3.49171983123007
0.08 3.27779189378907
0.07 2.50924711331569
0.08 2.63099376488151
0.09 0.923538738764797
0.09 1.55298446696593
0.04 1.1063387539566
0.09 0.816979258248791
0.12 1.10531296804959
0.09 0.974564424329539
0.11 1.44036673690783
0.05 1.74636994324478
0.21 -0.446350584661778
0.03 4.11229547217005
0.08 1.63017342380716
0.1 0.996235823054157
0.05 2.24638708687251
0.04 3.28793705012459
0.11 1.44599232256177
0.03 2.81264956078411
0.1 1.36268303416359
0.04 2.70004711245274
0.06 1.82198583734033
0.06 1.31627720561211
0.03 1.24330600534946
0.2 -0.800448250354314
0.13 1.07444674537072
0.14 0.213978558160799
0.03 3.7077318141544
0.06 1.45280988290096
0.06 2.48427390650862
0.18 -0.518931145784792
0.14 -0.615332098454388
0.03 4.5256814620508
0.1 0.442360143768369
0.14 0.970196715807385
0.1 1.37705836348065
0.08 2.03372371231876
0.05 3.48088031143607
0.06 1.12000348298054
0.06 2.06674752379088
0.08 1.78862200744838
0.02 3.77459987480267
0.13 0.667650045036072
0.08 2.73372230752689
0.05 3.14098128009524
0.04 2.58005308392173
0.07 1.83509087312263
0.04 4.01707598799857
0.08 2.49670272588294
0.15 1.00689769277487
0.24 -1.85671451645121
0.02 2.7110681027517
0.13 0.377358363997486
0.12 -0.207289937390922
0.02 1.12761282778614
0.02 2.42746695269883
0.08 1.76980160586757
0.07 2.11702440474565
0.07 0.790925824383205
0.08 0.772497017049953
0.09 1.78057522321502
0.14 0.835825447743465
0.04 2.45478494945165
0.08 0.102599603076065
0.02 3.83329603207995
0.04 2.92018134116357
0.01 3.82983281075886
0.01 3.44714303434706
0.08 1.96085470860364
0.11 1.04661872098815
0.29 -1.51134367183169
0.1 1.02979353985404
0.05 2.8165702787993
0.08 1.32124185658481
0.13 1.41819199630891
0.09 2.09560706472799
0.09 2.97785648807343
0.05 1.64893365358896
0.02 3.81101049896221
0 3.63722670254345
0.08 0.826823555589233
0.06 2.03136650597004
0.08 2.72050838944161
0.11 1.54515640244645
0.06 2.34398574487489
0.04 2.78953117355937
0.11 0.906966661229722
0.06 2.67461067830404
0.08 0.217996697183913
0.05 4.06356300072332
0.15 -0.231959419879162
0.08 2.52798633072323
0.04 1.11431008466421
0.11 0.517423030377733
0.1 0.471510037513426
0.05 3.77948620692586
0.07 2.83761512672782
0.06 2.17343785409204
0.05 2.39713368023981
0.07 2.30121123663857
0.07 2.95132741046325
0.05 2.39760741376856
0.08 2.91145547519847
0.06 2.6269164091673
0.05 2.27663153429489
0.05 1.76934506428139
0.05 2.50100739728232
0.09 0.867872183812531
0.05 2.25727054163087
0.06 0.622413268579744
0.04 2.42916895501382
0.04 2.22247596007345
0.08 2.99136648961418
0.05 2.69181885771441
0.06 3.0366300090923
0.08 1.32743764166751
0.14 -0.560311196456633
0.05 3.4326167979785
0.05 3.07064044704668
0.09 1.23662407033503
0.07 1.6844522069504
0.07 3.11751141315562
0.04 3.5214408795118
0.06 3.30681284796481
0.05 1.86788832401751
0.14 0.0813293496782142
0.07 2.28019695216351
0.08 1.63221544454199
0.09 2.65220766691203
0.13 0.351005981352668
0.04 1.25744542301007
0.1 0.627803897685154
0.07 3.07067292071599
0.04 1.4343715244885
0.05 1.61174557158183
0.02 0.434940865439024
0.07 1.45330749412774
0.11 1.35770883211168
0.12 0.126500223688002
0.01 4.10597265773387
0.01 3.44392718597748
0.13 0.203760813623295
0.03 3.44194915747335
0.11 1.84485685161356
0.16 -0.32736706031105
0.1 1.42152054741315
0.09 1.29823617209473
0.07 2.11212661132742
0.07 2.93377443709344
0.03 3.27372504426199
0.06 2.838337188316
0.06 2.36681950993921
0.03 3.94244098973776
0.06 2.05618403018602
0.08 1.73559919122109
0.02 3.69022564107271
0.18 -0.130579489618052
0.05 0.772818888419287
0.04 2.59489928144378
0.04 2.60320298970786
0.09 0.881099473408707
0.18 1.3088273638293
0.08 2.37316811228925
0.1 1.98810871312576
0.07 3.66564116318943
0.07 3.5671609405761
0.03 4.25781284967056
0.03 4.64462009632925
0.09 1.52581164661708
0.14 1.14424030158062
0.07 0.36249019899325
0.07 0.762602098989704
0.12 0.0977591161330787
0.23 -0.103215647685029
0.05 1.86086732569116
0.04 4.09483036872896
0.08 0.885631460493252
