"k.vec" "diffStat.vec"
0.11 17.2544529058116
0.15 14.74450501002
0.25 9.32005611222445
0.12 15.1089619238477
0.11 23.2987414829659
0.15 17.0679519038076
0.14 14.7222124248497
0.06 29.042621242485
0.11 22.0041362725451
0.12 19.1335871743487
0.12 17.3448817635271
0.19 14.4919198396794
0.11 22.5045130260521
0.19 9.95241683366733
0.13 16.6803927855711
0.14 12.192376753507
0.16 11.5230300601202
0.07 16.18450501002
0.2 20.4798637274549
0.13 18.2493547094188
0.15 11.4171783567134
0.18 15.807503006012
0.17 17.0928817635271
0.17 9.70622044088176
0.19 14.579751503006
0.1 10.7243206412826
0.21 12.2612264529058
0.06 23.0457154308617
0.17 13.8254669338677
0.27 9.49050901803607
0.15 9.23895791583166
0.19 19.5203527054108
0.11 16.5851863727455
0.13 14.634997995992
0.12 18.913619238477
0.2 11.9460921843687
0.16 8.18879358717435
0.17 17.0239358717435
0.17 10.8907254509018
0.23 16.9528016032064
0.17 11.8403607214429
0.17 12.0664529058116
0.12 7.79855711422846
0.17 14.0689859719439
0.15 14.481995991984
0.15 19.143871743487
0.16 10.9775310621242
0.15 12.4863166332665
0.18 17.8082885771543
0.22 8.91411623246493
0.11 18.9854669338677
0.2 10.7667815631263
0.14 10.0747815631263
0.22 9.42875350701403
0.16 23.3768256513026
0.17 11.5618196392786
0.18 12.9293226452906
0.17 10.9135551102204
0.19 13.1535070140281
0.2 12.7724088176353
0.23 8.30941082164329
0.15 10.0564168336673
0.16 10.0215470941884
0.11 16.4478396793587
0.18 15.7446733466934
0.21 13.0437835671343
0.1 18.0007374749499
0.09 15.8180120240481
0.11 12.3888657314629
0.18 11.114124248497
0.2 9.31406813627254
0.26 11.1536352705411
0.13 11.2566653306613
0.07 17.1516472945892
0.14 13.509002004008
0.17 16.7546933867735
0.13 16.2665891783567
0.17 14.0648977955912
0.1 19.5605290581162
0.27 9.71807615230461
0.17 10.0276553106212
0.11 15.4508537074148
0.21 10.9002324649299
0.2 7.30227655310621
0.11 18.3334909819639
0.13 20.5581322645291
0.2 8.5787254509018
0.15 17.3551182364729
0.25 9.51002004008016
0.16 7.0135871743487
0.11 12.8729378757515
0.11 15.0724168336673
0.16 19.2247615230461
0.13 11.3072304609218
0.12 10.5263086172345
0.24 12.4740681362725
0.13 15.4667094188377
0.1 15.6621322645291
0.1 12.6664128256513
0.16 13.7032705410822
