"k.vec" "diffStat.vec"
0.05 22.0030861723447
0.04 27.1232224448898
0.05 32.1170981963928
0.16 22.0023086172345
0.08 22.5261162324649
0.04 11.943879759519
0.08 26.3181082164329
0.14 22.4251703406814
0.06 23.0838637274549
0.06 13.4544208416834
0.04 29.8490661322645
0.12 22.7235190380762
0.12 10.7593426853707
0.13 17.6920561122244
0.04 15.7474148296593
0.11 12.6230460921844
0.08 22.1225170340681
0.05 22.9089779559118
0.03 25.750877755511
0.12 14.2160240480962
0.04 30.9340440881764
0.02 33.0193987975952
0.11 22.1313106212425
0.14 21.1654028056112
0.11 26.9061963927856
0.05 21.3675591182365
0.11 12.8799679358717
0.06 19.7862925851703
0.04 37.4403927855711
0.05 12.5357034068136
0.08 24.6751182364729
0.04 23.6442084168337
0.09 22.4821002004008
0.12 23.8173226452906
0.12 21.7924008016032
0.12 25.2701322645291
0.09 19.7867575150301
0.08 14.5416032064128
0.02 33.8778356713427
0.06 26.1914869739479
0.05 27.5884569138277
0.08 34.9186052104208
0.31 6.06540280561122
0.34 6.15004408817635
0.05 26.0123286573146
0.11 20.1115911823647
0.03 22.5021082164329
0.05 31.3780841683367
0.03 31.3184849699399
0.11 17.331879759519
0.03 23.6155671342685
0.02 21.5203126252505
0.09 23.8007855711423
0.08 25.0637675350701
0.09 20.318749498998
0.06 20.6567775551102
0.05 30.5824048096192
0.11 16.9110941883768
0.16 19.8669659318637
0 39.857130260521
0.08 19.8402885771543
0.12 17.9116633266533
0.05 22.805755511022
0.03 29.3594468937876
0.07 21.0945811623247
0.06 4.90170741482966
0.03 29.1155430861723
0.18 9.23494188376753
0.08 12.266629258517
0.04 20.6957274549098
0.06 22.0434388777555
0.08 20.5691382765531
0.06 32.9440320641283
0.03 33.4223326653307
0.07 32.8543406813627
0.08 22.2546613226453
0.02 23.735246492986
0.05 16.3571943887776
0.06 5.00246092184369
0.09 29.8376833667335
0.1 19.3947334669339
0.07 15.4851703406814
0.11 9.85618436873748
0.11 27.2585090180361
0.06 27.1650420841683
0.06 31.8450741482966
0.05 26.245122244489
0.05 16.2370981963928
0.06 29.7083286573146
0.03 20.0866132264529
0.03 8.92915430861723
0.06 32.9140280561122
0.04 39.5846973947896
0.06 21.8806573146293
0.06 32.092376753507
0.04 32.1314709418838
0.07 21.2763366733467
0.08 18.8587815631263
0.14 21.5585811623246
0.02 38.2468537074148
